
ideatum ideata
igbo ibo
igorrote igorrorote
ilium ilia
imago imagines
imago imagoes
imperium imperia
impi impies
impulse impulses
incest incests
income incomes
increase increases
incubus incubi
incus incudes
index indexes
index indices
indigo indigoes
indumentum indumenta
indusium indusia
industry industries
infundibulum infundibula
ingush ingushes
ink inks
innuendo innuendoes
inoculum inocula
insectarium insectaria
insect insects
instrument instruments
insula insulae
insurance insurances
intaglio intagli
interest interests
interleaf interleaves
intermezzo intermezzi
interregnum interregna
interrex interreges
intima intimae
invention inventions
involucellum involucella
involucre involucra
involucrum involucra
iris irides
iron irons
irs irs
ischium ischia
is is
island islands
isthmus isthmi
jackaroo jackeroos
jackfish jackfishes
jackknife jackknives
jail jails
jambeau jambeaux
jam jams
jar jars
jellyfish jellyfishes
jellyfish jellyfishes
jelly jellies
jewelfish jewelfishes
jewel jewels
jewfish jewfishes
jingo jingoes
jinni jinn
join joins
jo joes
joke jokes
journey journeys
judge judges
juice juices
jump jumps
jus jura
kaddish kaddishim
kalmuc kalmuck
kalmuc kalmucks
katabasis katabases
keeshond keeshonden
kettle kettles
key keys
kibbutz kibbutzim
kick kicks
killifish killifishes
kingfish kingfishes
kite kites
kitten kittens
kitty kitties
knee knees
knife knifes
knife knives
knot knots
knowledge knowledge
kohlrabi kohlrabies
krona kronur
krone kronen
krone kroner
kroon krooni
kylix kylikes
labarum labara
labellum labella
labium labia
laborer laborers
labrum labra
lace laces
lactobacillus lactobacilli
lacuna lacunae
lacunar lacunaria
ladybug ladybugs
lake lakes
lamella lamellae
lamia lamiae
lamina laminae
lamp lamps
land lands
language languages
lapillus lapilli
lapith lapithae
larva larvae
larva larvas
larynx larynges
lasso lassoes
latex latices
latifundium latifundia
lat lati
lat latu
laugh laughs
lavabo lavaboes
lawyer lawyers
lead leads
leaf leafs
leaf leaves
learning learnings
leather leathers
lecythus lecythi
leg legs
lemma lemmata
lemniscus lemnisci
lemon lemons
lenis lenes
lentigo lentigines
leonid leonides
lepidopteran lepidoptera
leprosarium leprosaria
leptocephalus leptocephali
lepton lepta
letter letters
lettuce lettuces
leucocytozoan leucocytozoa
leu lei
level levels
lev leva
lex leges
libido libidos
libra librae
library libraries
libretto libretti
libretto librettos
lied lieder
life lives
lift lifts
light lights
ligula ligulae
likuta makuta
limbus limbi
limen limina
limes limites
limit limits
limulus limuli
line lines
linen linens
lingo lingoes
lingua linguae
lionfish lionfishes
lip lips
lipoma lipomata
liquid liquids
liquor liquors
lira lire
liriodendron liriodendra
list lists
litas litu
lit litai
lixivium lixivia
loaf loafs
loaf loaves
locket lockets
lock locks
loculus loculi
locus loci
loggia loggie
logging logging
logion logia
log logs
lomentum lomenta
longobard longobardi
look looks
lorica loricae
loti maloti
louse lice
love loves
low lows
luba luba
lubritorium lubritoria
lumber lumbers
lumbi lumbus
lumen lumina
lumpfish lumpfishes
lunch lunches
lunchroom lunchrooms
lungfish lungfishes
lunula lunulae
lur lures
lustre lustra
lymphangitis lymphangitides
lymphoma lymphomata
lymphopoiesis lymphopoieses
lysis lyses
lytta lyttae
maar maare
macaroni macaronies
maccaroni maccaronies
machine machines
machzor machzorim
macronucleus macronuclei
macrosporangium macrosporangia
macula maculae
madame mesdames
mademoiselle mesdemoiselles
madrono madornos
maestro maestri
mafioso mafiosi
magic magics
magma magmata
magnifico magnificoes
magus magi
mahzor mahzorim
maid maids
mailbox mailboxes
malleolus malleoli
malleus mallei
mamilla mamillae
mamma mammae
mammilla mammillae
manager managers
mandingo mandingoes
mango mangoes
manifesto manifestoes
man mans
man men
man men
manservant menservants
manteau manteaux
mantis mantes
mantle mantles
manubrium manubria
manufacturer manufacturers
map maps
marble marbles
marchesa marchese
marchese marchesi
maremma maremme
market markets
markka markkaa
mark marks
marsupium marsupia
mask masks
mass masses
masterpiece masterpieces
mast masts
match matches
matrix matrices
matrix matrixes
matzo matzoth
mausoleum mausolea
maxilla maxillae
maximum maxima
meal meals
measure measures
meat meats
media mediae
mediastinum mediastina
medium media
medium mediums
medulla medullae
medusa medusae
meeting meetings
megaron megara
megasporangium megasporangia
megillah megilloth
meiosis meioses
melanoma melanomata
melisma melismata
memento mementoes
memorandum memoranda
memorandum memorandums
memory memories
meniscus menisci
men men
menstruum menstrua
meow meows
merchantman merchantmenaccount accounts
mesenteron mesentera
mesothorax mesothoraces
mestizo mestizoes
metacarpus metacarpi
metal metals
metamorphosis metamorphoses
metanephros metanephroi
metastasis metastases
metatarsus metatarsi
metathesis metatheses
metathorax metathoraces
metazoan metazoa
metempsychosis metempsychoses
metencephalon metencephala
mezuzah mezuzoth
miasma miasmata
mice mice
microanalysis microanalyses
micrococcus micrococci
micronucleus micronuclei
microsporangium microsporangia
middle middles
midrash midrashim
midwife midwives
milieu milieux
milium milia
milkfish milkfishes
milk milks
millennium millennia
mina minae
mind minds
mine mines
minimum minima
ministerium ministeria
minister ministers
mint mints
minute minutes
minutia minutiae
minyan minyanim
miosis mioses
miracidium miracidia
mir miri
mishna mishnayoth
mist mists
mitochondrion mitochondria
mitten mittens
mitzvah mitzvoth
modiolus modioli
modulus moduli
momentum momenta
mom moms
momus momi
monad monades
money moneys
monkey monkeys
monkfish monkfishes
monochasium monochasia
monopodium monopodia
monopteron monoptera
monopteros monopteroi
monseigneur messeigneurs
monsieur messieurs
monsignor monsignori
month months
mooncalf mooncalves
moonfish moonfishes
moon moons
moose moose
moose moose
mora morae
moratorium moratoria
morceau morceaux
moresco morescoes
morisco moriscoes
morning mornings
morphallaxis morphallaxes
morphosis morphoses
morse morses
morula morulae
mosasaurus mosasauri
moshav moshavim
moslem moslim
moslem moslims
mosquito mosquitoes
mother mothers
motion motions
motto mottoes
mountain mountains
mouse mice
mousse mousses
mouth mouths
mouth mouths
move moves
mozzarella mozzarella
mucosa mucosae
mucro mucrones
mudejar mudejares
mudfish mudfishes
mulatto mulattoes
multipara multiparae
murex murices
muscle muscles
music musics
muskellunge muskallunge
mustache mustaches
mycelium mycelia
mycetoma mycetomata
mycobacterium mycobacteria
mycorrhiza mycorrhizae
myelencephalon myelencephala
myiasis myiases
myocardium myocardia
myofibrilla myofibrillae
myoma myomata
myosis myoses
myrmidon myrmidones
mythos mythoi
myxoma myxomata
naevus naevi
naiad naiades
nail nails
name names
naos naoi
narcissus narcissi
naris nares
nasopharynx nasopharynges
natatorium natatoria
nation nations
naumachia naumachiae
nauplius nauplii
nautilus nautili
navaho navahoes
navajo navajoes
nebula nebulae
nebula nebulas
neck necks
necropolis necropoleis
needlefish needlefishes
needle needles
need needs
negrillo negrilloes
negrito negritoes
negro negroes
nemesis nemeses
nephridium nephridia
nereid nereides
nerve nerves
nest nests
net nets
neurohypophysis neurohypophyses
neuroma neuromata
neuropteron neuroptera
neurosis neuroses
nevus nevi
nibelung nibelungen
nidus nidi
niece nieces
niello nielli
night nights
nilgai nilgai
nimbostratus nimbostrati
nimbus nimbi
ninja ninjas
